Patch_ID,OS_Type,Patch_Type,Patch_Severity,Systems_Affected,Server_Usage,Prev_Incidents,Patch_Size_MB,Applied_During_Peak,Pre_Health_Score,Post_Health_Score,Downtime_Mins,Result
P1000,RHEL,Security,Medium,5,Low,0,106,No,77.2,71.7,3.0,Safe
P1001,Ubuntu,Security,High,55,Medium,2,91,No,86.2,80.1,8.8,Safe
P1002,Windows,Kernel,High,9,High,0,403,No,88.7,80.6,15.5,Risky
P1003,Windows,Security,Low,17,Low,0,248,No,100.0,97.5,2.2,Safe
P1004,RHEL,Security,Low,23,Medium,0,80,No,86.4,83.5,4.9,Safe
P1005,RHEL,Feature,Low,16,Low,1,229,Yes,83.8,79.9,3.7,Safe
P1006,RHEL,Bugfix,Medium,52,Low,0,51,No,73.6,69.6,6.3,Safe
P1007,Ubuntu,Feature,Medium,29,Medium,0,471,No,69.1,64.0,7.9,Risky
P1008,Windows,Security,Medium,61,Medium,0,337,Yes,83.7,77.8,4.5,Risky
P1009,Windows,Bugfix,Low,39,Medium,0,187,No,100.0,100.0,0.0,Safe
P1010,RHEL,Security,Low,80,Medium,1,154,Yes,82.9,71.0,21.3,Safe
P1011,Ubuntu,Security,Medium,98,Medium,1,441,No,77.3,67.3,10.7,Risky
P1012,Ubuntu,Kernel,Medium,9,Low,0,267,No,89.5,86.7,4.4,Safe
P1013,RHEL,Security,Low,26,Low,0,271,No,64.9,61.2,5.7,Safe
P1014,RHEL,Bugfix,Medium,81,High,1,380,Yes,85.8,75.2,9.4,Risky
P1015,RHEL,Bugfix,Low,61,Low,0,154,No,93.2,92.5,1.4,Safe
P1016,RHEL,Security,High,51,Medium,0,453,No,75.5,68.8,9.0,Safe
P1017,Windows,Feature,High,58,Low,1,453,No,98.7,88.7,10.3,Risky
P1018,RHEL,Security,Low,7,Medium,0,176,No,91.6,92.9,1.0,Safe
P1019,RHEL,Bugfix,Low,57,Medium,2,314,No,98.8,98.5,0.3,Safe
P1020,Windows,Kernel,Medium,88,Low,1,249,No,71.2,59.7,18.5,Risky
P1021,RHEL,Bugfix,Low,35,Low,1,301,No,83.2,76.6,9.4,Safe
P1022,RHEL,Kernel,Medium,73,Medium,0,64,No,94.2,88.8,8.6,Safe
P1023,RHEL,Security,High,92,Medium,1,275,No,70.0,62.5,12.7,Risky
P1024,RHEL,Bugfix,Medium,37,Low,0,402,Yes,94.5,94.2,0.4,Safe
P1025,Windows,Security,High,76,Medium,1,154,No,83.2,77.7,7.1,Risky
P1026,RHEL,Feature,Medium,92,Low,0,282,No,94.4,85.9,16.8,Risky
P1027,Windows,Kernel,Low,54,High,0,368,No,87.2,78.1,17.7,Safe
P1028,Windows,Security,High,88,Medium,0,268,No,99.1,99.4,0.4,Safe
P1029,RHEL,Bugfix,Medium,20,Low,2,326,No,72.1,59.6,19.0,Risky
P1030,Windows,Security,Medium,80,Medium,0,310,No,88.3,83.9,4.0,Safe
P1031,RHEL,Bugfix,Low,81,Medium,2,430,No,69.9,55.9,10.2,Risky
P1032,RHEL,Bugfix,Low,43,Low,0,468,Yes,89.2,80.8,13.9,Risky
P1033,Ubuntu,Kernel,Critical,93,Medium,0,390,No,88.3,77.2,12.8,Risky
P1034,Ubuntu,Bugfix,Low,50,Low,0,418,No,82.1,80.7,1.1,Risky
P1035,Ubuntu,Security,Critical,92,Low,1,481,No,77.2,64.6,20.6,Risky
P1036,RHEL,Security,Critical,51,Low,1,385,No,81.7,68.7,24.5,Risky
P1037,RHEL,Security,High,48,Medium,1,239,No,86.0,80.4,10.7,Safe
P1038,Windows,Security,Medium,13,Low,0,421,No,87.8,85.7,2.9,Safe
P1039,RHEL,Security,Medium,91,Medium,0,468,Yes,100.0,93.5,8.0,Safe
P1040,RHEL,Feature,High,54,Medium,0,247,No,93.7,94.6,0.6,Risky
P1041,RHEL,Bugfix,Low,81,Medium,0,402,Yes,79.1,78.5,1.0,Safe
P1042,RHEL,Bugfix,Medium,64,Medium,1,326,Yes,90.8,81.6,17.6,Safe
P1043,Ubuntu,Security,Medium,19,High,0,385,No,93.8,89.3,8.4,Safe
P1044,RHEL,Feature,Medium,40,Medium,0,88,No,78.4,75.5,4.7,Safe
P1045,Windows,Feature,Medium,67,Medium,0,211,Yes,92.0,80.4,5.9,Safe
P1046,RHEL,Security,Medium,73,Low,0,170,No,70.1,64.2,6.6,Safe
P1047,Windows,Feature,Medium,90,High,0,429,No,78.1,66.9,12.5,Safe
P1048,Windows,Bugfix,High,84,Low,0,448,No,70.8,64.4,11.7,Risky
P1049,RHEL,Security,Low,45,Low,0,311,Yes,82.9,86.0,1.9,Safe
P1050,Ubuntu,Bugfix,Critical,78,Medium,1,499,No,80.3,68.9,14.7,Risky
P1051,Windows,Bugfix,Medium,28,Low,0,265,No,81.0,77.0,2.8,Safe
P1052,Ubuntu,Security,High,86,Low,0,361,No,93.2,83.1,15.0,Safe
P1053,Ubuntu,Kernel,Medium,53,Medium,1,98,No,85.9,80.4,9.3,Safe
P1054,Windows,Feature,High,22,Medium,1,141,No,93.0,82.9,14.8,Risky
P1055,Ubuntu,Bugfix,Low,11,Medium,1,178,Yes,100.0,95.1,8.4,Safe
P1056,RHEL,Bugfix,High,8,High,0,370,No,100.0,92.1,11.2,Safe
P1057,RHEL,Bugfix,Low,94,Low,1,77,Yes,83.6,78.5,4.0,Safe
P1058,RHEL,Bugfix,High,73,Low,1,405,No,90.3,84.5,6.3,Safe
P1059,RHEL,Bugfix,Critical,64,Medium,2,197,No,83.5,77.3,11.8,Safe
P1060,RHEL,Security,Low,59,Low,0,481,No,95.1,88.0,6.7,Safe
P1061,RHEL,Bugfix,Low,20,Medium,0,377,Yes,93.2,85.5,4.6,Safe
P1062,Ubuntu,Feature,High,94,Low,1,114,No,78.4,73.1,5.7,Risky
P1063,RHEL,Bugfix,Low,86,Medium,2,267,No,79.9,76.0,4.1,Safe
P1064,RHEL,Security,High,33,Medium,0,100,Yes,98.9,100.0,1.4,Safe
P1065,Windows,Feature,Low,27,Medium,1,476,No,79.5,64.2,20.5,Risky
P1066,RHEL,Security,Low,18,Medium,0,354,No,83.9,78.8,10.2,Risky
P1067,Ubuntu,Security,Critical,83,Medium,0,458,No,91.8,80.8,17.8,Risky
P1068,RHEL,Security,Medium,53,Low,0,123,No,83.3,77.8,3.1,Safe
P1069,Ubuntu,Security,High,37,Low,1,474,Yes,100.0,94.0,9.5,Safe
P1070,Windows,Feature,Medium,29,Low,1,248,No,95.3,86.9,14.6,Safe
P1071,RHEL,Bugfix,Medium,25,Medium,0,241,Yes,76.2,73.0,5.9,Safe
P1072,RHEL,Security,Medium,21,Medium,0,238,No,79.1,76.1,3.4,Safe
P1073,Ubuntu,Feature,Medium,27,Medium,0,61,No,90.9,88.9,1.9,Safe
P1074,Windows,Feature,Medium,61,Low,0,288,No,84.5,81.4,5.3,Safe
P1075,Windows,Feature,Medium,85,Medium,2,409,No,65.6,48.0,29.3,Risky
P1076,Windows,Security,Medium,62,High,0,130,Yes,75.3,68.4,9.0,Safe
P1077,RHEL,Bugfix,Low,18,Low,0,432,No,87.3,84.5,1.9,Safe
P1078,RHEL,Kernel,High,97,Low,0,319,No,93.9,83.8,14.9,Risky
P1079,RHEL,Feature,Low,24,Low,1,339,No,94.0,89.2,2.9,Safe
P1080,Ubuntu,Security,Medium,34,Medium,0,97,Yes,100.0,94.0,3.9,Risky
P1081,Windows,Security,Low,23,Medium,1,366,No,78.1,73.0,5.1,Safe
P1082,RHEL,Bugfix,Medium,57,Low,1,258,No,78.6,77.7,0.9,Safe
P1083,RHEL,Kernel,High,60,Medium,0,84,No,84.7,76.1,10.3,Risky
P1084,RHEL,Bugfix,Low,81,Low,0,168,Yes,68.2,63.8,4.5,Safe
P1085,RHEL,Bugfix,Low,86,Medium,0,114,Yes,85.0,80.9,2.2,Safe
P1086,Windows,Security,Low,27,Medium,1,364,No,83.0,81.1,1.4,Safe
P1087,Windows,Bugfix,Medium,66,Medium,0,291,No,92.9,90.8,1.4,Safe
P1088,Ubuntu,Feature,High,37,Low,1,85,Yes,94.6,89.6,5.8,Risky
P1089,RHEL,Security,Low,22,High,1,301,No,88.6,80.2,6.8,Safe
P1090,RHEL,Feature,High,77,Medium,0,452,No,85.0,67.6,16.3,Risky
P1091,Windows,Kernel,Medium,37,Low,0,292,No,88.6,86.4,2.7,Risky
P1092,Windows,Security,Medium,36,Low,0,91,No,77.1,79.4,2.0,Safe
P1093,Windows,Bugfix,Critical,65,Medium,1,118,No,84.2,73.1,9.6,Risky
P1094,Windows,Security,Medium,58,High,0,452,No,85.2,81.4,6.6,Safe
P1095,RHEL,Feature,Medium,21,High,0,156,No,84.2,77.0,9.6,Safe
